sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
2020-10-01,10/1/20,dow-047-dow-uap-d63-mission-report-strait-of-hormuz-october-2020,pdf,DoW,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",Strait of Hormuz,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2020-10-15,10/15/20,dow-031-dow-uap-d44-range-fouler-reporting-form-gulf-of-aden-october,pdf,DoW,"DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020",Arabian Sea,"This document is a Range Fouler Reporting Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during activ"
2020-10-27,10/27/20,dow-042-dow-uap-d58-range-fouler-debrief-na-october-2020,pdf,DoW,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",N/A,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active milit"
2020-11-02,11/2/20,dow-048-dow-uap-d64-mission-report-iran-november-2020,pdf,DoW,"DOW-UAP-D64, Mission Report, Iran, November 2020",Iran,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2022-05-06,5/6/22,dow-010-dow-uap-d10-mission-report-middle-east-may-2022,pdf,DoW,"DOW-UAP-D10, Mission Report, Middle East, May 2022",Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2022-05-20,5/20/22,dow-011-dow-uap-d12-mission-report-iraq-may-2022,pdf,DoW,"DOW-UAP-D12, Mission Report, Iraq, May 2022",Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2022-05-29,5/29/22,dow-012-dow-uap-d14-mission-report-iraq-may-2022,pdf,DoW,"DOW-UAP-D14, Mission Report, Iraq, May 2022",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2022-07-31,7/31/22,dow-013-dow-uap-d16-mission-report-syria-july-2022,pdf,DoW,"DOW-UAP-D16, Mission Report, Syria, July 2022",Syria,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2022-12-01,12/1/22,dow-014-dow-uap-d18-mission-report-iraq-december-2022,pdf,DoW,"DOW-UAP-D18, Mission Report, Iraq, December 2022",Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2023-01-01,2023,dow-082-western-us-event,pdf,DoW,Western US Event,Western United States,This document is a summary of statements by seven US PERSONs employed by the federal government who separately reported observing several unidentified anomalous phenomena in the western United States 
